category,Tilte,Base_Reviews
conformity,Absolutely Rubbish !,Just downloaded and installed. as a test: Just a simple youtube video in full screen. Result: After 30 seconds more or less: The fireTV got the screen frozen. I decided to start over again: Same Result. Don't waste your time.
benevolence,Useless,Does not stream video of major apps.
achievement,Wasted my time,This app did not work for me.
conformity,Junk,Garbage. Straight up garbage. Donâ€™t even think about downloading it.
conformity,Donâ€™t buy,Donâ€™t buy itâ€™s worthless!! Just a big disappointment.
conformity,App does not work.,"That app never opened, it was just frozen and nothing could be done.  This was one of the worst apps I have ever downloaded.  I thank GOD I didnâ€™t have to pay for it.  If I could give negative 5 stars I wouldâ€™ve."
conformity,Sucks,This sucks and Dosent work itâ€™s fuzzy and off
conformity,Unable to get it to work,Unable to get it to work  and no help available.
hedonism,slow,"for an app that isn't free, its really slowi found another app that is free, faster AND easier to use"
hedonism,Sh&% sandwich.,Awful. The delay makes it unusable and also a brain scrambler.
benevolence,Usless,As soon as it connected and was streaming lost the picture.
conformity,Very disappointed,Didn't work whatsoever :(
achievement,refund please,"I would like a refund to my account, this product does not work.  Will not connect to my iphone."
benevolence,Scamer,Scam! This does not work! Do not buy!
achievement,Wack,Didnâ€™t even work for my iPhone
conformity,Garbage,Itâ€™s garbage...wasted my time. Does not work
achievement,Doesnâ€™t work,Not working app wonâ€™t launch waste of time and bandwidth
hedonism,Worked well.  Too many ads too frequently.,"I don't mind a few ads to pay for a free app, but this was so often it was distracting.  FireTV mirroring ended up working better with no ads."
benevolence,Just no,I found this to be cumbersome and entirely useless.
hedonism,Free is too much money,"Really laggy, not super friendly interface either. Other apps allow what this is supposed to do, but they actually work."
achievement,DidnÃ¢â‚¬â„¢t work.,DidnÃ¢â‚¬â„¢t work for me.
conformity,DonÃ¢â‚¬â„¢t waist your time!,"WouldnÃ¢â‚¬â„¢t play anything, it kept cutting it off."
hedonism,Ads every 30 minutes during a movie,Easy to use and does what it says. But the free version plays an ad every 30 minutes during a movie. Kinda ruins it. Going back to VLC.
conformity,Horrible app,One word...Garbage
hedonism,Laggy,Laggy and plays ads like if I would pay to remove ads on this laggy/glitchy app
hedonism,Ads Ads Ads Ads Ads,The app is completely unusable due to ads.
achievement,"This app didn't work at all for me.  I installed it on my Galaxy Tab A.  The app installed fine and opened without a glitch, but it failed to detect any of my connected devices.  Uninstalled right away.","This app didn't work at all for me.  I installed it on my Galaxy Tab A.  The app installed fine and opened without a glitch, but it failed to detect any of my connected devices.  Uninstalled right away."
achievement,Not for me,It was very difficult to use and connect to my phone.
benevolence,Fruad,Fruad.Didnt buy
conformity,DonÃ¢â‚¬â„¢t waste your time,I tried so many times to get on my TV to make it workâ€¦
hedonism,Too many ads,ItÃ¢â‚¬â„¢s free but too many ads
hedonism,Too slow,Connected fine but super slow
conformity,Don't get duped,Did not work and wasted my time
achievement,Not a solution,Did not work at all with iPhone10x or Mac pro 2019
hedonism,Not worth free,Free product not worth it. Sluggish and does not work smoothly
hedonism,DonÃ¢â‚¬â„¢t waste your time,Do not buy or download. Waste of time. You get ads every min or so. Complete waste of time
hedonism,"App worked, but advertising frustrating.","The AirStreen app worked fine after the initial download, then timed out because of advertising. Very frustrating."
conformity,Didn't work well,I never did get it to work right
hedonism,Ads that got stuck made this very disruptive,"It shows ads that require a controller to close and unfortunately couldnÃ¢â‚¬â„¢t control it to close them, and had to restart my stream and the airplay"
hedonism,So so,Slow response
achievement,Not this time,It didn't work for me.
achievement,UI is not user friendly,UI is not friendly at all. You do need to be a bit tech savvy to get it going depending on what devices you're using but I did finally get it to work.
hedonism,Not worth it,To many pop ups
hedonism,Better than others lol,Can lag which can be annoying!!!
conformity,Did not work as expected,"Limited capabilities - some black screens, such as Hulu. Forced timeout on free apps like Youtube."
conformity,At least the ads work.,This app simply does not work. It does however run ads perfectly fine which really does add insult to injury.I would not recommend this app
achievement,Didnt work,Didnt work with my tablet.
conformity,Terrible App,Amazon firetv is dependent on this app to cast laptop/phone to TV and the quality is so terrible. I have no words how terrible is this. Very very dissapointed.
hedonism,Waste of time,Video gets interrupted by ads too much
conformity,Why bother!!!,It sucks. It makes you watch videos to get five mins of airplay. Not what I thought it was going to be.
hedonism,For Tech savvy only,App frequently pauses and asks you to upgrade to pay version- even during the middle of playing/mirroring a video. Very frustrating . Used app to mirror iPhone but found there was significant lagging- Ã¢â‚¬Ëœfile transfer rateÃ¢â‚¬â„¢ may need to be higher than the average homeÃ¢â‚¬â„¢s WiFi  Ended up not being able to use the app.
achievement,trash,did not work for me.
hedonism,Not worth the time,"I did not like the app, it would start and keep stopping, more of a frustration to keep restarting."
achievement,Didn't work for me!,"The picture would not show,  only could hear the sound.  Ended up deleting the app."
hedonism,Ads!!,Too many ads!
hedonism,Not the AirPlay app to use!,Very buggy! Ended up not using it after all.
benevolence,Useless,Useless when an add came up and won't get put of it. Don't download.
benevolence,Trash app.,Trash app.
hedonism,Advertising spoils it.,"I had no trouble with installation or getting the app to run, I just hated having their advertisements popping up over my stream!  Not recommended.  Using Screen Mirror Plus Pro instead."
achievement,Doesn't work - after uninstall and reinstall still doesn't work,Doesn't work on my firestick.
hedonism,Ads. Ads. Ads,I understand the app is free and needs to be supported. But it randomly drops ads into the cast. Deleted it.
conformity,Highly intrusive buy me promotion,"Before I had even sorted how to use this product, multiple buy me screens and wait screens started appearing. Very disappointing."
conformity,One Star,It didn't work properly.
hedonism,It sucks,Video gets cut off pop up for upgrade is annoying. It sucks
achievement,Not worth time,Horrible did not work on my tv or tablet
benevolence,Free version does not work,Free version does not work unless you pay to remove adds.
hedonism,Ads ads ads,There is always ads. So many ads for a device I already paid for. Now I have to pay $15 to use it. Annoying as hell
hedonism,Froze Fire Tv,AirScreen froze up Fire Tv.
benevolence,"DonÃ¢â‚¬â„¢t waste time, useless app","DonÃ¢â‚¬â„¢t waste time, useless app"
conformity,Confusing to a layman,I was able to get it working but I struggled through making it worked
achievement,Very Disappointing and a Waste of Money,"Poor connections and once connected slow and extremely poor video and audio qualities. Save your money, don't buy it!"
conformity,Wrong App for me,Didn't work as I expected
conformity,Bad,"Terrible app. DoesnÃ¢â‚¬â„¢t work, and will pop up while trying to use other apps"
hedonism,Works but not smoothly,Has ads that can be difficult to navigate out of.
hedonism,Works but could make your Firestick slow,It did what it was supposed to do but after installing it I felt that my Disney+ and Netflix were freezing so had to uninstall.
